OID_,OBJECTID,LSOA21CD,LSOA21NM,LONG,LAT,wifi COUNT
1,6,E01011269,Leeds 011B,-1.67412,53.87003,2
2,18,E01011281,Leeds 059A,-1.60521,53.80999,1
3,11,E01011274,Leeds 010C,-1.68589,53.86258,4
4,24,E01011292,Leeds 071B,-1.59183,53.79603,2
5,13,E01011276,Leeds 011C,-1.68259,53.86383,2
6,2,E01011265,Leeds 009A,-1.71269,53.87343,2
7,21,E01011284,Leeds 071A,-1.58747,53.80293,2
8,44,E01011312,Leeds 086A,-1.54749,53.77359,1
9,27,E01011295,Leeds 059E,-1.61682,53.81065,1
10,29,E01011297,Leeds 030B,-1.34731,53.81173,1
11,47,E01011315,Leeds 090A,-1.56569,53.77018,2
12,38,E01011306,Leeds 089E,-1.38311,53.76772,1
13,33,E01011301,Leeds 089B,-1.37314,53.77303,1
14,25,E01011293,Leeds 071C,-1.58608,53.79718,2
15,37,E01011305,Leeds 089D,-1.37559,53.76365,1
16,49,E01011317,Leeds 090B,-1.57763,53.76798,5
17,74,E01011342,Leeds 060C,-1.49469,53.80696,2
18,51,E01011319,Leeds 091C,-1.55589,53.76778,1
19,57,E01011325,Leeds 046B,-1.62949,53.82233,1
20,63,E01011331,Leeds 058A,-1.63079,53.81133,2
21,68,E01011336,Leeds 058C,-1.62761,53.80845,2
22,66,E01011334,Leeds 058B,-1.63613,53.80736,1
23,69,E01011337,Leeds 058D,-1.64073,53.80861,1
24,70,E01011338,Leeds 064A,-1.52211,53.79936,1
25,71,E01011339,Leeds 060A,-1.48528,53.81179,1
26,73,E01011341,Leeds 061A,-1.47474,53.80309,1
27,58,E01011326,Leeds 046C,-1.62482,53.81807,1
28,96,E01011364,Leeds 085A,-1.54518,53.78377,2
29,95,E01011363,Leeds 071E,-1.56962,53.79456,2
30,89,E01011357,Leeds 038C,-1.54041,53.81556,1
31,87,E01011355,Leeds 038B,-1.55228,53.82405,3
32,92,E01011360,Leeds 042D,-1.53344,53.81467,3
33,90,E01011358,Leeds 042B,-1.54069,53.8222,1
34,78,E01011346,Leeds 060D,-1.48703,53.80566,1
35,82,E01011350,Leeds 034A,-1.54297,53.8292,1
36,97,E01011366,Leeds 082A,-1.5668,53.78294,1
37,84,E01011352,Leeds 034C,-1.53737,53.82616,2
38,75,E01011343,Leeds 061B,-1.46968,53.80834,1
39,80,E01011348,Leeds 065C,-1.50803,53.80154,3
40,93,E01011361,Leeds 042E,-1.5312,53.81555,1
41,77,E01011345,Leeds 061C,-1.45625,53.80558,1
42,109,E01011379,Leeds 017A,-1.61135,53.85383,2
43,101,E01011371,Leeds 085B,-1.5447,53.7789,3
44,103,E01011373,Leeds 085C,-1.55307,53.7781,1
45,113,E01011383,Leeds 019A,-1.59965,53.85168,2
46,115,E01011385,Leeds 016C,-1.57532,53.84867,1
47,118,E01011390,Leeds 087A,-1.41504,53.76731,1
48,124,E01011396,Leeds 074A,-1.38948,53.7975,2
49,148,E01011420,Leeds 069E,-1.45802,53.77998,2
50,138,E01011410,Leeds 057E,-1.41702,53.81025,1
51,131,E01011403,Leeds 074D,-1.38082,53.79054,1
52,145,E01011417,Leeds 069D,-1.46473,53.79633,1
53,143,E01011415,Leeds 069B,-1.46976,53.80011,1
54,125,E01011397,Leeds 077A,-1.37226,53.79423,1
55,164,E01011440,Leeds 044D,-1.57719,53.81913,1
56,157,E01011429,Leeds 048D,-1.52143,53.81387,1
57,161,E01011433,Leeds 053C,-1.51143,53.80912,1
58,159,E01011431,Leeds 047D,-1.50052,53.81294,1
59,193,E01011469,Leeds 094B,-1.51524,53.76259,1
60,191,E01011467,Leeds 112A,-1.53086,53.7817,5
61,195,E01011471,Leeds 092A,-1.53446,53.77016,1
62,190,E01011466,Leeds 094A,-1.52762,53.75344,1
63,192,E01011468,Leeds 112B,-1.51532,53.77587,4
64,175,E01011451,Leeds 110D,-1.57299,53.82186,1
65,199,E01011475,Leeds 094C,-1.52958,53.75787,1
66,189,E01011465,Leeds 027E,-1.64296,53.83459,1
67,183,E01011459,Leeds 021C,-1.63747,53.84121,3
68,221,E01011505,Leeds 025A,-1.55553,53.8411,1
69,201,E01011477,Leeds 045A,-1.59649,53.81525,1
70,206,E01011482,Leeds 056D,-1.58521,53.80697,1
71,210,E01011488,Leeds 045C,-1.60483,53.8198,1
72,209,E01011485,Leeds 033B,-1.60799,53.82508,1
73,213,E01011492,Leeds 101B,-1.54235,53.74652,1
74,211,E01011489,Leeds 045D,-1.59609,53.82044,2
75,207,E01011483,Leeds 056E,-1.57917,53.80524,1
76,217,E01011497,Leeds 101E,-1.55026,53.74289,3
77,246,E01011530,Leeds 106A,-1.6214,53.74415,1
78,249,E01011533,Leeds 104A,-1.60052,53.74929,2
79,238,E01011522,Leeds 095B,-1.61864,53.75741,3
80,256,E01011541,Leeds 104B,-1.6015,53.74329,2
81,270,E01011558,Leeds 018B,-1.5399,53.84872,2
82,271,E01011559,Leeds 018C,-1.55292,53.84762,1
83,254,E01011538,Leeds 107B,-1.5587,53.73409,1
84,266,E01011554,Leeds 012A,-1.55873,53.87032,2
85,299,E01011589,Leeds 039B,-1.67918,53.83063,1
86,286,E01011574,Leeds 004E,-1.69748,53.90336,3
87,283,E01011571,Leeds 004B,-1.70117,53.89863,1
88,302,E01011592,Leeds 039D,-1.67304,53.81556,1
89,317,E01011607,Leeds 079D,-1.65731,53.78709,1
90,304,E01011594,Leeds 062C,-1.67871,53.81116,3
91,321,E01011611,Leeds 068D,-1.6423,53.79968,1
92,318,E01011608,Leeds 068A,-1.63501,53.8008,1
93,322,E01011612,Leeds 079E,-1.66198,53.79652,4
94,309,E01011599,Leeds 066D,-1.68299,53.80146,1
95,343,E01011635,Leeds 097B,-1.45222,53.74404,1
96,327,E01011617,Leeds 070B,-1.49705,53.79897,2
97,341,E01011633,Leeds 098E,-1.48176,53.74615,2
98,342,E01011634,Leeds 100C,-1.49076,53.74704,1
99,344,E01011636,Leeds 100D,-1.47274,53.73849,1
100,339,E01011630,Leeds 100B,-1.4949,53.75421,1
101,336,E01011627,Leeds 098A,-1.47099,53.75057,1
102,331,E01011622,Leeds 072C,-1.48906,53.79735,1
103,330,E01011621,Leeds 070D,-1.49829,53.78584,1
104,340,E01011632,Leeds 098D,-1.48786,53.75319,1
105,362,E01011655,Leeds 020D,-1.50776,53.83742,1
106,368,E01011661,Leeds 035D,-1.45927,53.82106,3
107,350,E01011643,Leeds 037A,-1.49784,53.82715,1
108,364,E01011657,Leeds 035B,-1.46789,53.83016,2
109,367,E01011660,Leeds 040D,-1.47462,53.82129,1
110,357,E01011650,Leeds 020A,-1.49266,53.84331,1
111,370,E01011663,Leeds 050A,-1.46578,53.81463,1
112,371,E01011664,Leeds 050B,-1.46732,53.81729,1
113,374,E01011667,Leeds 050D,-1.47294,53.81127,1
114,394,E01011695,Leeds 019D,-1.60608,53.84615,1
115,376,E01011669,Leeds 110F,-1.55052,53.8175,1
116,378,E01011671,Leeds 055B,-1.54207,53.81026,1
117,384,E01011685,Leeds 109A,-1.59541,53.82965,1
118,396,E01011697,Leeds 002A,-1.33051,53.92049,1
119,382,E01011681,Leeds 063D,-1.56802,53.80446,2
120,414,E01011715,Leeds 022C,-1.4247,53.83642,1
121,404,E01011705,Leeds 002D,-1.37863,53.92878,2
122,403,E01011704,Leeds 002C,-1.36973,53.92584,4
123,410,E01011711,Leeds 005D,-1.33712,53.901,1
124,422,E01011723,Leeds 041C,-1.44415,53.82061,3
125,418,E01011719,Leeds 022D,-1.41608,53.82373,1
126,424,E01011725,Leeds 078A,-1.61382,53.79539,1
127,417,E01011718,Leeds 029D,-1.45254,53.83003,2
128,431,E01011732,Leeds 081C,-1.59086,53.78953,1
129,444,E01032492,Leeds 102I,-1.5951,53.74527,1
130,435,E01011736,Leeds 083B,-1.59261,53.78427,1
131,448,E01032497,Leeds 099E,-1.542,53.75906,1
132,446,E01032494,Leeds 033G,-1.62073,53.82875,2
133,440,E01032488,Leeds 097G,-1.45903,53.75319,1
134,425,E01011726,Leeds 080A,-1.6254,53.78766,1
135,469,E01033021,Leeds 075E,-1.52227,53.79537,3
136,464,E01033010,Leeds 111B,-1.54188,53.7999,7
137,462,E01033003,Leeds 055G,-1.53491,53.8051,1
138,463,E01033008,Leeds 111A,-1.55386,53.79961,5
139,470,E01033031,Leeds 064E,-1.52866,53.80726,2
140,461,E01033002,Leeds 055F,-1.53981,53.80405,1
141,468,E01033016,Leeds 111E,-1.54418,53.79044,1
142,459,E01032876,Leeds 109G,-1.57957,53.83706,1
143,473,E01033035,Leeds 064F,-1.5246,53.80335,2
144,460,E01032946,Leeds 110G,-1.56856,53.81798,1
145,482,E01035048,Leeds 099G,-1.53171,53.74881,3
146,480,E01035046,Leeds 082G,-1.54737,53.78896,1
147,488,E01035054,Leeds 112F,-1.53237,53.7882,2
